"https://www.imdb.com/title/tt10799922/reviews/?ref_=adv_li_tt","2"," It only holds six bullets ","Bill's (Bill Oberst Jr) lost a daughter to opioids. He runs a podcast in Tampa where other folks call in to tell their stories. He uses that information, plus what he gets from a rogue cop and goes vigilante over dealers, doctors, and big Pharma CEOs who live in small unprotected homes. He wears a mask, but it is hard not to know it is him. Michael Par plays a doctor who easily prescribes painkillers.The dialogue was dry as were the shootings. Bill walks up to the guy in a mask, tells him he is bad, and then shoots him six times because that is all the bullets his gun holds. Boring like bad talk radio.Guide: sex. No nudity. No swearing as I remember."
"https://www.imdb.com/title/tt10799922/reviews/?ref_=adv_li_tt","5"," Opioid crisis ","Bill Johnson (Bill Oberst Jr.) has lost his daughter to an opioid overdose and while his podcast about the epidemic helps him deal with the loss, he still feels like he could do more. Perhaps something like wearing a mask and becoming a vigiilante out to violently stop the sale of pills? That seems like a plan.Director Mark Savage - who co-wrote this with Tom Parnell* - makes a lean and mean Death Wish for today out of this movie. It's tightly edited and pulses with energy, never outstaying its welcome. Some may be put off by the heavy messaging in the movie, but it definitely believes in its subject matter. That's because Parnell lost his daughter to a opioid overdose, so you can completely understand his mindset here.What also helps make this movie better than expectations are its stars. Michael Par is a long-time favorite and, as always, he brings something extra to his role. And Oberst knows how to play the damaged hero quite well. This could have been simple wish fulfillment, but boh actors add a gravitas to this film that take it a step above.*They've worked together to make the movies Purgatory Road and Stressed to Kill as well, the latter of which features Oberst's character killing people to keep his blood pressure down. Plus, it has Armand Assante in it! Painkiller was originally called Stressed to Kill: Doctor's Orders, so it is a spiritual sequel at the very least."
"https://www.imdb.com/title/tt10799922/reviews/?ref_=adv_li_tt"," Was this review helpful? Sign in to vote. "," A decent B film. ","It's a good story, that needs to be told, and for a B film, it was told well. Sure it's predictable, but the opioid and vigilante genres haven't been crossed that much, so it was a good watch. The decent pacing and 85 min runtime made it flow nicely, even if you knew what was coming up. The cinematography and shots were great, as was the score, but the performances for the most part were lackluster, but I feel it was from director Mark Savage failing to direct his cast properly."
"https://www.imdb.com/title/tt10799922/reviews/?ref_=adv_li_tt","3"," Not very good ","I'm running out of stuff to watch during the pandemic so I thought I'd give this movie a go.Guy loses his daughter to opioids prescribed by doctors and dude starts killing big pharma execs, dealers, bad doctors, etc.It was watchable, but barely. Dude seems to shoot the "bad guys" 6 times regardless of his location, and does not worry about the cops or anything. He likes to wear this mask with an American flag on it while he kills people. Fire off 6 shots and slowly walk away. Not a care in the world.If you have anything else to watch, do that. If you want something to run in the background while you do other stuff, this will work."
"https://www.imdb.com/title/tt10799922/reviews/?ref_=adv_li_tt","10"," Insane! ","Amazing movie naturally gifted actors! Real life all the way! Really shows what this world is all about! Fight the fight!"
"https://www.imdb.com/title/tt10799922/reviews/?ref_=adv_li_tt","10"," Must See Thriller ","Painkiller was a beautiful combination of entertainment and lessons in abuses of power. The acting was incredible as they take you along for the ride as the lead character seeks vengeance for the loss of his daughter. Great writing, great directing, great acting. I highly recommend you watch this movie."
"https://www.imdb.com/title/tt10799922/reviews/?ref_=adv_li_tt","10"," Definitely a must see film! ","As a chronic pain patient, I was a bit hesitant at first. Pain patients receive so much judgement so the last thing I wanted to see was a movie which would make me feel bad for something I cannot control. However, Painkiller tackles a real problem. The same problem that causes so many tragic deaths ironically also causes so many pain chronic pain patients to feel judged, depressed, defeated and even suicidal. Painkiller tackles the reason behind the opioid epidemic, greedy pharmaceutical companies, greedy Doctors who dishonor their Hippocratic Oath to DO NO HARM, the lack of resources for law enforcement to tackle the issue and the drug dealers.Listening to the main character Bill as he comforts a parent who lost a child to an overdose while dealing with his own loss really broke my heart. Watching Bill take matters into his own hands to avenge his daughter's death was satisfying. What parent wouldn't do everything in their power to bring their child's killer to justice? Tom Parnell as Doctor Mac is the epitome of a great Doctor. Yet no good deed goes unpunished. Enter Michael Pare as Doctor Rhodes who not only steals Good Doctor Mac's wife but destroys his career when Doctor Mac refuses to market a drug meant to help heart patients as yet another PAINKILLER.Supporting characters Alexander Pennecke as RIP, Kalimah Gaston as Janet Simone and Kristina Berenger as Lisa really strengthened each scene. Bill Oberst Jr and Tom Parnell really compliment each other. The action scenes were organic. This movie will touch on all of your emotions. Mark Savage, Tom Parnell and David Richardson are a creative power team. Director Mark Savage is a fearless genius. Everything about Painkiller works. I highly recommend it."
"https://www.imdb.com/title/tt10800070/reviews/?ref_=adv_li_tt"," Was this review helpful? Sign in to vote. "," Horrific Acting and Writing- A COMPLETE WASTE OF TIME ","This movie was just terrible on all fronts. Bad music, bad acting, and overall the story was slow. The writer obviously knows nothing about hockey! Don't waste your time on this one! It deserves a big fat ZERO!"
"https://www.imdb.com/title/tt10800070/reviews/?ref_=adv_li_tt","10"," Inspiring sports movie with positive messages! ","My sons loved this movie and wouldn't stop talking about it. Lots of positive messages, and the cast did a fantastic job."
"https://www.imdb.com/title/tt10800070/reviews/?ref_=adv_li_tt","10"," Great movie!! ","Such a great film with an amazing, uplifting storyline!"
"https://www.imdb.com/title/tt10801400/reviews/?ref_=adv_li_tt","1"," Failed ","Shoulda woulda.Missed opportunities a constant throughout this filmSave your time for better things."
"https://www.imdb.com/title/tt10801400/reviews/?ref_=adv_li_tt","3"," Read the synopsis first. ","If you don't read the synopsis of this movie, you'll be utterly disappointed. It's a pantomime from beginning to end, so without knowing what to expect, you'll have no idea what you're watching. It relies 100% on the atmosphere created by sounds, music, the occasional grunt, and cinematography to tell the story. Why someone would put something like this together that lasts 1h 22min is the big question. Somebody had to have written a story line, that's obvious, and it actually makes sense, but at the 56 minute mark I found myself saying the only reason to watch any longer was for the final kill. By that time I was hoping for a plot twist. *SPOILER ALERT* ....this is a gin and tonic with no lime. It's not a plot twist if you see it coming. Why they threw the bs about "He has one night, that's the time limit he gave to himself." in the synopsis was a red herring.I've read some of the other reviews and after watching the film I found them to be quite harsh. Could any of them done a better job?In the end, for me it was an experience. Nothing more. Nothing less. When, and if future conversations bring up the topic of POS movies I won't be mentioning this one, but it's definitely not on my "Must See" list either."
"https://www.imdb.com/title/tt10801400/reviews/?ref_=adv_li_tt","1"," Awful effort ","No dialogue. Boring. Badly filmed. Apart from that an utter masterpiece."
"https://www.imdb.com/title/tt10801400/reviews/?ref_=adv_li_tt","1"," DIZZY ","This is not a movie......this is a doodling clips.....Better exercise for health.....!"
"https://www.imdb.com/title/tt10801400/reviews/?ref_=adv_li_tt","1"," Incoherent conglomeration of nonsense. ","Ridiculous waste of time. This is not a movie, it is pure stupidity. I only wish with the current garbage that is trying to be passed off as entertainment, we could rate less than 1 star."
"https://www.imdb.com/title/tt10801400/reviews/?ref_=adv_li_tt","1"," Failed experiment ","I am sure the director wanted to experiment, but it failed. Miserable failed.Don't waste your time, if you have anything else to do. Even breathing is more fulfilling."
"https://www.imdb.com/title/tt10801400/reviews/?ref_=adv_li_tt","1"," First 20 minutes are enough ","Terrible!Tried to watch but after 20 minutes of nothing,i had enough."
"https://www.imdb.com/title/tt10801400/reviews/?ref_=adv_li_tt","1"," Movie title stolen from RATM ","I didn't actually watch since if you steal the name of your movie banking on "oh, nobody will notice we lifted our movie name from one of the greatest rock bands in modern history", you don't deserve people to watch your movie."
"https://www.imdb.com/title/tt10801400/reviews/?ref_=adv_li_tt","1"," Want my money back ","Keep trying , this was bad. Not good.Help.....Ggggggggg."
